label,party
Richard HÃ©bert,Liberal
Bob Benzen ğŸ‡¨ğŸ‡¦,Conservative
Dominic LeBlanc,Liberal
Glen Motz,Conservative
Guy Lauzon,Conservative
Rosemarie Falk,Conservative
Ziad Aboultaif,Conservative
Monique PauzÃ©,
@MinCanadaFA,Liberal
Peter Fonseca,Liberal
Rachael Harder,Conservative
Filomena Tassi,Liberal
Joe Peschisolido è˜‡ç«‹é“,Liberal
Serge Cormier,Liberal
MarilÃ¨ne Gill,Bloc
Marwan Tabbara,Liberal
Hunter Tootoo,Liberal
Nicola Di Iorio,Liberal
"Arnold Viersen, MP",Conservative
Terry Sheehan,Liberal
Gabriel Ste-Marie,
Jean Rioux,Liberal
Alupa Clarke,Conservative
Ginette Petitpas Taylor,Liberal
MP Pat Finnigan,Liberal
Kevin Waugh,Conservative
Dan Ruimy,Liberal
FayÃ§al El-Khoury ğŸ‡¨ğŸ‡¦,Liberal
"Kelly McCauley, MP",Conservative
Cheryl Hardcastle,NDP
Brigitte Sansoucy,NDP
Jati Sidhu,Liberal
Ken McDonald,Liberal
Don Rusnak,Liberal
Michael McLeod,Liberal
Bill Blair,Liberal
Sonia Sidhu MP,Liberal
StÃ©phane Lauzon ğŸ‡¨ğŸ‡¦,Liberal
Dr. Doug Eyolfson,Liberal
GeorginaJoliboisNDP,NDP
Diane Lebouthillier,Liberal
Bernard Genereux,Conservative
Martin Shields,Conservative
David Christopherson,NDP
Pierre Breton,Liberal
Todd Doherty,Conservative
Jennifer O'Connell,Liberal
Bob Bratina,Liberal
Michel Boudrias,Bloc
Shannon Stubbs,Conservative
The Hon. Bob Nault,Liberal
Yves Robillard,Liberal
Shaun Chen,1034848168486350848
Borys Wrzesnewskyj,Liberal
Paul Lefebvre,Liberal
Ahmed Hussen,Liberal
Bill Casey,Liberal
Anju Dhillon,Liberal
Carla Qualtrough,Liberal
Jean-Yves Duclos,Liberal
Karen Ludwig,Liberal
Jean-Claude Poissant,Liberal
Robert Sopuck,Conservative
Robert Morrissey,Liberal
Maxime Bernier,
Darrell Samson,Liberal
Kate Young,Liberal
Geng Tan,Liberal
Colin Fraser,Liberal
Bernadette Jordan,Liberal
Bardish Chagger,Liberal
Raj Saini,Liberal
Karine Trudel,NDP
Daniel Blaikie,NDP
John Oliver,Liberal
Michel Picard,Liberal
Jonathan Wilkinson,Liberal
RÃ©mi MassÃ©,Liberal
Pat Kelly,Conservative
"Larry Miller, MP",Conservative
Jean Yip,Liberal
MP Celina ğŸ‡¨ğŸ‡¦,Liberal
Ed Fast,Conservative
Stephen Fuhr CD MP,Liberal
Leona Alleslev,Liberal
Pam Goldsmith-Jones,Liberal
"Alaina Lockhart, MP",Liberal
Yasmin Ratansi,Liberal
Sylvie Boucher,Conservative
Salma Zahid,Liberal
Chandra Arya,Liberal
Jim Carr,Liberal
"Len Webber, MP",Conservative
David Yurdiga,Conservative
"Ron Liepert, MP",Conservative
Pablo Rodriguez,Liberal
Peter Van Loan,Conservative
Majid Jowhari,Liberal
Ted Falk,Conservative
Michael Chong ğŸ‡¨ğŸ‡¦,Conservative
Adam Vaughan ğŸ‡¨ğŸ‡¦,Liberal
Bill Morneau,Liberal
"Michael Cooper, MP",Conservative
Raj Grewal,Liberal
Nate Erskine-Smith,Liberal
Julie Dzerowicz,Liberal
Gary Anandasangaree,Liberal
Ali Ehsassi,Liberal
Marc Miller,Liberal
Emmanuel Dubourg,Liberal
Kevin Sorenson,Conservative
"Bob Saroya, MP",Conservative
Ben Lobb,Conservative
Stephanie Kusie,Conservative
FranÃ§ois-P. Champagne ğŸ‡¨ğŸ‡¦,Liberal
Larry Maguire,Conservative
Andrew Leslie,Liberal
Anthony Housefather,Liberal
Cathay Wagantall MP,Conservative
Frank Baylis,Liberal
Hon. Peter Kent,Conservative
Kellie Leitch,Conservative
Judy Sgro,Liberal
David Lametti,Liberal
Rob Nicholson,Conservative
Gordie Hogg,Liberal
Sheri Benson,NDP
Mike Bossio,Liberal
Ron McKinnon,Liberal
Sean Fraser,Liberal
Patty Hajdu,Liberal
Vance Badawey M.P.,Liberal
Mel Arnold,Conservative
Randeep S. Sarai,Liberal
William Amos,Liberal
Jody Wilson-Raybould,Liberal
Marie-Claude Bibeau,Liberal
Dave MacKenzie,Conservative
Candice Bergen,Conservative
RobertFalconOuellett,Liberal
Richard Cannings,NDP
Murray Rankin MP,NDP
Francis Drouin,Liberal
Mona Fortier,Liberal
Christine Moore,NDP
Denis Lebel,
"Ramesh Sangha, MP",Liberal
Peter Fragiskatos,Liberal
Jenny Kwan,NDP
Lloyd Longfield,Liberal
XavierBarsalouDuval,Bloc
Scott Duvall,NDP
"Arif Virani, MP",Liberal
Hon MaryAnn Mihychuk,Liberal
"Churence Rogers, M.P.",Liberal
Maryam Monsef,Liberal
Lawrence MacAulay,Liberal
Erin Weir,
Sherry Romanado,Liberal
Deb Schulte MP,Liberal
FranÃ§ois Choquette,NDP
Luc ThÃ©riault,
Wayne Long,Liberal
Chris Bittle,Liberal
Alain Rayes,Conservative
Harjit Sajjan,Liberal
Pierre Paul-Hus,Conservative
Darren Fisher,Liberal
Linda Lapointe,Liberal
Sheila Malcolmson,NDP
Julie Dabrusin,Liberal
Mark Eyking,Liberal
Tom Mulcair,NDP
Wayne Stetski,NDP
Peter Schiefke,Liberal
John Aldag,Liberal
Romeo Saganash,NDP
Anne Minh Thu Quach,NDP
Marco Mendicino,Liberal
RhÃ©al Fortin,
Ruth Ellen Brosseau,NDP
Guy Caron,NDP
Erin O'Toole,Conservative
Matthew DubÃ©,NDP
Marjolaine Boutin-S.,NDP
Scott Reid,Conservative
Sven Spengemann,Liberal
"Harold Albrecht, MP for Kitchener-Conestoga",Conservative
Brad Trost,Conservative
Pierre Nantel,NDP
"Mark Strahl, MP",Conservative
Hon Deepak Obhrai PC,Liberal
E. Lambropoulos,Liberal
Earl Dreeshen,Conservative
Robert Aubin,NDP
Francesco Sorbara MP,Liberal
"Bruce Stanton, MP",Conservative
Phil McColeman,Conservative
Bev Shipley,Conservative
Kirsty Duncan,Liberal
HÃ©lÃ¨ne LaverdiÃ¨re,NDP
John Barlow,Conservative
Karen Vecchio,Conservative
Luc Berthold,Conservative
Ramez Ayoub,Liberal
"Tom Kmiec, MP",Conservative
Randall Garrison,NDP
Rodger Cuzner,Liberal
Sean Casey MP,Liberal
Jamie Schmale,Conservative
Andrew Scheer,Conservative
Alistair MacGregor,NDP
Alexandra Mendes,Liberal
TJ Harvey,Liberal
John McKay,Liberal
Dean Allison,Conservative
Pierre Poilievre,Conservative
Yvonne Jones,Liberal
Gagan Sikand,Liberal
Garnett Genuis,Conservative
Dan Vandal,Liberal
Navdeep Bains,Liberal
Kamal Khera,Liberal
Tracey Ramsey,NDP
Charlie Angus NDP,NDP
Gord Johns,NDP
David Anderson,Conservative
JoÃ«l Lightbound,Liberal
Kevin Lamoureux,Liberal
Pam Damoff  ğŸ‡¨ğŸ‡¦,Liberal
Chrystia Freeland,Liberal
Francis Scarpaleggia,Liberal
Alexandre Boulerice,NDP
Karen McCrimmon,Liberal
Ralph Goodale,Liberal
Bob Zimmer MP,Conservative
Eva Nassif M.P.,Liberal
Amarjeet Sohi,Liberal
Scott Simms,Liberal
Terry Duguid,Liberal
Anthony Rota,Liberal
Steven MacKinnon,Liberal
Mario Beaulieu,Bloc
Marc SerrÃ©,Liberal
"Andy Fillmore, MP",Liberal
"Mark Gerretsen, MP",Liberal
Blaine Calkins,Conservative
KerryDiotte,Conservative
Catherine McKenna ğŸ‡¨ğŸ‡¦,Liberal
Mike Lake,Conservative
Larry Bagnell,Liberal
Neil Ellis,Liberal
Tony Clement,Conservative
Rachel Blaney,NDP
Brenda Shanahan,Liberal
Alex Nuttall MP,Conservative
Nick Whalen,Liberal
Angelo Iacono,Liberal
Mark Warawa,Conservative
David Graham,Liberal
Mark Holland,Liberal
Marc Garneau,Liberal
Scott Brison,Liberal
David Tilson,Conservative
Geoff Regan,Liberal
"Steven Blaney, MP",Conservative
Irene Mathyssen,NDP
Cathy McLeod MP,Conservative
David Sweet,Conservative
Wayne Easter,Liberal
Rob Oliphant,Liberal
Dr. Colin Carrie,Conservative
Linda Duncan,NDP
Jane Philpott,Liberal
Karina Gould,Liberal
Carol Hughes,NDP
Iqra Khalid,Liberal
Lisa Raitt,Conservative
Kim Rudd,Liberal
Fin Donnelly,NDP
Bryan May,Liberal
Ruby Sahota,Liberal
Chris Warkentin,Conservative
Greg Fergus,Liberal
James Bezan,Conservative
Cheryl Gallant,Conservative
Anita Vandenbeld,Liberal
"Darshan Kang, MP",
Carolyn Bennett,Liberal
Sukh Dhaliwal,Liberal
John Brassard,Conservative
Kyle Peterson,Liberal
Matt DeCourcey,Liberal
GÃ©rard Deltell,Conservative
Randy Hoback,Conservative
"John Nater, M.P.",Conservative
James Maloney MP,Liberal
"Michael Levitt, MP ğŸ‡¨ğŸ‡¦",Liberal
Mary Ng,Liberal
Kelly Block MP,Conservative
MÃ©lanie Joly,Liberal
Hon. Dr. Hedy Fry,Liberal
Dane Lloyd,Conservative
Randy Boissonnault ğŸ³ï¸â€ğŸŒˆ,Liberal
Blake Richards,Conservative
Seamus O'Regan,Liberal
Pierre-Luc Dusseault,NDP
Gudrid Hutchings,Liberal
Omar Alghabra,Liberal
Brian Masse,NDP
Peter Julian,NDP
Kent Hehr ğŸ³ï¸â€ğŸŒˆ,Liberal
Niki Ashton,NDP
Nathan Cullen,NDP
Terry Beech é»ƒå¿—å³°,Liberal
Dan Albas,Conservative
Elizabeth May,Green
Don Davies MP,NDP
Joyce Murray æ¢…éº—å–¬,Liberal
"Matt Jeneroux, MP",Conservative
CanadianPM,Liberal
Michelle Rempel,Conservative
Justin Trudeau,Conservative
Ken Hardie,Liberal